"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8","getTitle","Surefire suite","Tue May 19 10:53:34 UTC 2026","passed","Tue May 19 10:53:34 UTC 2026","com.swaglabtest.testcases.ItemPurchaseTest","Surefire test","com.swaglabtest.testcases.ItemPurchaseTest","getTitle"
"","399","UserLogingWithvalidCredentials","Surefire suite","Tue May 19 10:53:33 UTC 2026","passed","Tue May 19 10:53:33 UTC 2026","com.swaglabtest.testcases.MainPageLoginTest","Surefire test","com.swaglabtest.testcases.MainPageLoginTest","UserLogingWithvalidCredentials"
"","550","UserLogingWithInvalidCredentials","Surefire suite","Tue May 19 10:53:32 UTC 2026","passed","Tue May 19 10:53:33 UTC 2026","com.swaglabtest.testcases.MainPageLoginTest","Surefire test","com.swaglabtest.testcases.MainPageLoginTest","UserLogingWithInvalidCredentials"
"","407","SigelItemPurchase","Surefire suite","Tue May 19 10:53:34 UTC 2026","passed","Tue May 19 10:53:35 UTC 2026","com.swaglabtest.testcases.ItemPurchaseTest","Surefire test","com.swaglabtest.testcases.ItemPurchaseTest","SigelItemPurchase"
"","491","multipleItemPurchase","Surefire suite","Tue May 19 10:53:35 UTC 2026","passed","Tue May 19 10:53:35 UTC 2026","com.swaglabtest.testcases.ItemPurchaseTest","Surefire test","com.swaglabtest.testcases.ItemPurchaseTest","multipleItemPurchase"
