"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","440","multipleItemPurchase","Surefire suite","Tue May 19 11:17:07 UTC 2026","passed","Tue May 19 11:17:07 UTC 2026","com.swaglabtest.testcases.ItemPurchaseTest","Surefire test","com.swaglabtest.testcases.ItemPurchaseTest","multipleItemPurchase"
"","7","getTitle","Surefire suite","Tue May 19 11:17:07 UTC 2026","passed","Tue May 19 11:17:07 UTC 2026","com.swaglabtest.testcases.ItemPurchaseTest","Surefire test","com.swaglabtest.testcases.ItemPurchaseTest","getTitle"
"","354","UserLogingWithvalidCredentials","Surefire suite","Tue May 19 11:17:05 UTC 2026","passed","Tue May 19 11:17:05 UTC 2026","com.swaglabtest.testcases.MainPageLoginTest","Surefire test","com.swaglabtest.testcases.MainPageLoginTest","UserLogingWithvalidCredentials"
"","391","SigelItemPurchase","Surefire suite","Tue May 19 11:17:07 UTC 2026","passed","Tue May 19 11:17:07 UTC 2026","com.swaglabtest.testcases.ItemPurchaseTest","Surefire test","com.swaglabtest.testcases.ItemPurchaseTest","SigelItemPurchase"
"","536","UserLogingWithInvalidCredentials","Surefire suite","Tue May 19 11:17:04 UTC 2026","passed","Tue May 19 11:17:05 UTC 2026","com.swaglabtest.testcases.MainPageLoginTest","Surefire test","com.swaglabtest.testcases.MainPageLoginTest","UserLogingWithInvalidCredentials"
