"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","468","SigelItemPurchase","Surefire suite","Tue May 19 10:23:15 UTC 2026","passed","Tue May 19 10:23:16 UTC 2026","com.swaglabtest.testcases.ItemPurchaseTest","Surefire test","com.swaglabtest.testcases.ItemPurchaseTest","SigelItemPurchase"
"","450","multipleItemPurchase","Surefire suite","Tue May 19 10:23:16 UTC 2026","passed","Tue May 19 10:23:16 UTC 2026","com.swaglabtest.testcases.ItemPurchaseTest","Surefire test","com.swaglabtest.testcases.ItemPurchaseTest","multipleItemPurchase"
"","586","UserLogingWithInvalidCredentials","Surefire suite","Tue May 19 10:23:13 UTC 2026","passed","Tue May 19 10:23:14 UTC 2026","com.swaglabtest.testcases.MainPageLoginTest","Surefire test","com.swaglabtest.testcases.MainPageLoginTest","UserLogingWithInvalidCredentials"
"","431","UserLogingWithvalidCredentials","Surefire suite","Tue May 19 10:23:14 UTC 2026","passed","Tue May 19 10:23:14 UTC 2026","com.swaglabtest.testcases.MainPageLoginTest","Surefire test","com.swaglabtest.testcases.MainPageLoginTest","UserLogingWithvalidCredentials"
"","8","getTitle","Surefire suite","Tue May 19 10:23:15 UTC 2026","passed","Tue May 19 10:23:15 UTC 2026","com.swaglabtest.testcases.ItemPurchaseTest","Surefire test","com.swaglabtest.testcases.ItemPurchaseTest","getTitle"
