"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","502","UserLogingWithInvalidCredentials","Surefire suite","Mon May 18 17:45:17 UTC 2026","passed","Mon May 18 17:45:17 UTC 2026","com.swaglabtest.testcases.MainPageLoginTest","Surefire test","com.swaglabtest.testcases.MainPageLoginTest","UserLogingWithInvalidCredentials"
"","461","multipleItemPurchase","Surefire suite","Mon May 18 17:45:19 UTC 2026","passed","Mon May 18 17:45:20 UTC 2026","com.swaglabtest.testcases.ItemPurchaseTest","Surefire test","com.swaglabtest.testcases.ItemPurchaseTest","multipleItemPurchase"
"","8","getTitle","Surefire suite","Mon May 18 17:45:19 UTC 2026","passed","Mon May 18 17:45:19 UTC 2026","com.swaglabtest.testcases.ItemPurchaseTest","Surefire test","com.swaglabtest.testcases.ItemPurchaseTest","getTitle"
"","396","SigelItemPurchase","Surefire suite","Mon May 18 17:45:19 UTC 2026","passed","Mon May 18 17:45:19 UTC 2026","com.swaglabtest.testcases.ItemPurchaseTest","Surefire test","com.swaglabtest.testcases.ItemPurchaseTest","SigelItemPurchase"
"","408","UserLogingWithvalidCredentials","Surefire suite","Mon May 18 17:45:17 UTC 2026","passed","Mon May 18 17:45:18 UTC 2026","com.swaglabtest.testcases.MainPageLoginTest","Surefire test","com.swaglabtest.testcases.MainPageLoginTest","UserLogingWithvalidCredentials"
