"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","389","SigelItemPurchase","Surefire suite","Tue May 19 11:07:22 UTC 2026","passed","Tue May 19 11:07:22 UTC 2026","com.swaglabtest.testcases.ItemPurchaseTest","Surefire test","com.swaglabtest.testcases.ItemPurchaseTest","SigelItemPurchase"
"","438","multipleItemPurchase","Surefire suite","Tue May 19 11:07:22 UTC 2026","passed","Tue May 19 11:07:23 UTC 2026","com.swaglabtest.testcases.ItemPurchaseTest","Surefire test","com.swaglabtest.testcases.ItemPurchaseTest","multipleItemPurchase"
"","327","UserLogingWithvalidCredentials","Surefire suite","Tue May 19 11:07:21 UTC 2026","passed","Tue May 19 11:07:21 UTC 2026","com.swaglabtest.testcases.MainPageLoginTest","Surefire test","com.swaglabtest.testcases.MainPageLoginTest","UserLogingWithvalidCredentials"
"","7","getTitle","Surefire suite","Tue May 19 11:07:22 UTC 2026","passed","Tue May 19 11:07:22 UTC 2026","com.swaglabtest.testcases.ItemPurchaseTest","Surefire test","com.swaglabtest.testcases.ItemPurchaseTest","getTitle"
"","365","UserLogingWithInvalidCredentials","Surefire suite","Tue May 19 11:07:20 UTC 2026","passed","Tue May 19 11:07:21 UTC 2026","com.swaglabtest.testcases.MainPageLoginTest","Surefire test","com.swaglabtest.testcases.MainPageLoginTest","UserLogingWithInvalidCredentials"
