"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","347","UserLogingWithInvalidCredentials","Surefire suite","Tue May 19 10:48:00 UTC 2026","passed","Tue May 19 10:48:00 UTC 2026","com.swaglabtest.testcases.MainPageLoginTest","Surefire test","com.swaglabtest.testcases.MainPageLoginTest","UserLogingWithInvalidCredentials"
"","453","multipleItemPurchase","Surefire suite","Tue May 19 10:48:02 UTC 2026","passed","Tue May 19 10:48:02 UTC 2026","com.swaglabtest.testcases.ItemPurchaseTest","Surefire test","com.swaglabtest.testcases.ItemPurchaseTest","multipleItemPurchase"
"","289","UserLogingWithvalidCredentials","Surefire suite","Tue May 19 10:48:00 UTC 2026","passed","Tue May 19 10:48:00 UTC 2026","com.swaglabtest.testcases.MainPageLoginTest","Surefire test","com.swaglabtest.testcases.MainPageLoginTest","UserLogingWithvalidCredentials"
"","7","getTitle","Surefire suite","Tue May 19 10:48:02 UTC 2026","passed","Tue May 19 10:48:02 UTC 2026","com.swaglabtest.testcases.ItemPurchaseTest","Surefire test","com.swaglabtest.testcases.ItemPurchaseTest","getTitle"
"","467","SigelItemPurchase","Surefire suite","Tue May 19 10:48:02 UTC 2026","passed","Tue May 19 10:48:02 UTC 2026","com.swaglabtest.testcases.ItemPurchaseTest","Surefire test","com.swaglabtest.testcases.ItemPurchaseTest","SigelItemPurchase"
