"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","509","UserLogingWithInvalidCredentials","Surefire suite","Tue May 19 11:03:29 UTC 2026","passed","Tue May 19 11:03:29 UTC 2026","com.swaglabtest.testcases.MainPageLoginTest","Surefire test","com.swaglabtest.testcases.MainPageLoginTest","UserLogingWithInvalidCredentials"
"","392","UserLogingWithvalidCredentials","Surefire suite","Tue May 19 11:03:29 UTC 2026","passed","Tue May 19 11:03:30 UTC 2026","com.swaglabtest.testcases.MainPageLoginTest","Surefire test","com.swaglabtest.testcases.MainPageLoginTest","UserLogingWithvalidCredentials"
"","496","multipleItemPurchase","Surefire suite","Tue May 19 11:03:32 UTC 2026","passed","Tue May 19 11:03:32 UTC 2026","com.swaglabtest.testcases.ItemPurchaseTest","Surefire test","com.swaglabtest.testcases.ItemPurchaseTest","multipleItemPurchase"
"","10","getTitle","Surefire suite","Tue May 19 11:03:31 UTC 2026","passed","Tue May 19 11:03:31 UTC 2026","com.swaglabtest.testcases.ItemPurchaseTest","Surefire test","com.swaglabtest.testcases.ItemPurchaseTest","getTitle"
"","429","SigelItemPurchase","Surefire suite","Tue May 19 11:03:31 UTC 2026","passed","Tue May 19 11:03:32 UTC 2026","com.swaglabtest.testcases.ItemPurchaseTest","Surefire test","com.swaglabtest.testcases.ItemPurchaseTest","SigelItemPurchase"
