"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","377","UserLogingWithvalidCredentials","Surefire suite","Mon May 18 17:43:16 UTC 2026","passed","Mon May 18 17:43:16 UTC 2026","com.swaglabtest.testcases.MainPageLoginTest","Surefire test","com.swaglabtest.testcases.MainPageLoginTest","UserLogingWithvalidCredentials"
"","550","UserLogingWithInvalidCredentials","Surefire suite","Mon May 18 17:43:15 UTC 2026","passed","Mon May 18 17:43:16 UTC 2026","com.swaglabtest.testcases.MainPageLoginTest","Surefire test","com.swaglabtest.testcases.MainPageLoginTest","UserLogingWithInvalidCredentials"
"","7","getTitle","Surefire suite","Mon May 18 17:43:17 UTC 2026","passed","Mon May 18 17:43:17 UTC 2026","com.swaglabtest.testcases.ItemPurchaseTest","Surefire test","com.swaglabtest.testcases.ItemPurchaseTest","getTitle"
"","450","multipleItemPurchase","Surefire suite","Mon May 18 17:43:18 UTC 2026","passed","Mon May 18 17:43:18 UTC 2026","com.swaglabtest.testcases.ItemPurchaseTest","Surefire test","com.swaglabtest.testcases.ItemPurchaseTest","multipleItemPurchase"
"","377","SigelItemPurchase","Surefire suite","Mon May 18 17:43:17 UTC 2026","passed","Mon May 18 17:43:18 UTC 2026","com.swaglabtest.testcases.ItemPurchaseTest","Surefire test","com.swaglabtest.testcases.ItemPurchaseTest","SigelItemPurchase"
