"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","602","UserLogingWithInvalidCredentials","Surefire suite","Tue May 19 10:57:26 UTC 2026","passed","Tue May 19 10:57:27 UTC 2026","com.swaglabtest.testcases.MainPageLoginTest","Surefire test","com.swaglabtest.testcases.MainPageLoginTest","UserLogingWithInvalidCredentials"
"","468","multipleItemPurchase","Surefire suite","Tue May 19 10:57:29 UTC 2026","passed","Tue May 19 10:57:29 UTC 2026","com.swaglabtest.testcases.ItemPurchaseTest","Surefire test","com.swaglabtest.testcases.ItemPurchaseTest","multipleItemPurchase"
"","9","getTitle","Surefire suite","Tue May 19 10:57:29 UTC 2026","passed","Tue May 19 10:57:29 UTC 2026","com.swaglabtest.testcases.ItemPurchaseTest","Surefire test","com.swaglabtest.testcases.ItemPurchaseTest","getTitle"
"","453","UserLogingWithvalidCredentials","Surefire suite","Tue May 19 10:57:27 UTC 2026","passed","Tue May 19 10:57:27 UTC 2026","com.swaglabtest.testcases.MainPageLoginTest","Surefire test","com.swaglabtest.testcases.MainPageLoginTest","UserLogingWithvalidCredentials"
"","422","SigelItemPurchase","Surefire suite","Tue May 19 10:57:29 UTC 2026","passed","Tue May 19 10:57:29 UTC 2026","com.swaglabtest.testcases.ItemPurchaseTest","Surefire test","com.swaglabtest.testcases.ItemPurchaseTest","SigelItemPurchase"
