"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 19 18:45:20 UTC 2026","Tue May 19 18:45:20 UTC 2026","9","Surefire suite","Surefire test","com.swaglabtest.testcases.ItemPurchaseTest","com.swaglabtest.testcases.ItemPurchaseTest","getTitle","getTitle",""
"passed","Tue May 19 18:45:18 UTC 2026","Tue May 19 18:45:18 UTC 2026","412","Surefire suite","Surefire test","com.swaglabtest.testcases.MainPageLoginTest","com.swaglabtest.testcases.MainPageLoginTest","UserLogingWithInvalidCredentials","UserLogingWithInvalidCredentials",""
"passed","Tue May 19 18:45:21 UTC 2026","Tue May 19 18:45:21 UTC 2026","450","Surefire suite","Surefire test","com.swaglabtest.testcases.ItemPurchaseTest","com.swaglabtest.testcases.ItemPurchaseTest","multipleItemPurchase","multipleItemPurchase",""
"passed","Tue May 19 18:45:18 UTC 2026","Tue May 19 18:45:19 UTC 2026","352","Surefire suite","Surefire test","com.swaglabtest.testcases.MainPageLoginTest","com.swaglabtest.testcases.MainPageLoginTest","UserLogingWithvalidCredentials","UserLogingWithvalidCredentials",""
"passed","Tue May 19 18:45:20 UTC 2026","Tue May 19 18:45:21 UTC 2026","431","Surefire suite","Surefire test","com.swaglabtest.testcases.ItemPurchaseTest","com.swaglabtest.testcases.ItemPurchaseTest","SigelItemPurchase","SigelItemPurchase",""
