"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","582","UserLogingWithInvalidCredentials","Surefire suite","Tue May 19 11:12:20 UTC 2026","passed","Tue May 19 11:12:20 UTC 2026","com.swaglabtest.testcases.MainPageLoginTest","Surefire test","com.swaglabtest.testcases.MainPageLoginTest","UserLogingWithInvalidCredentials"
"","478","UserLogingWithvalidCredentials","Surefire suite","Tue May 19 11:12:20 UTC 2026","passed","Tue May 19 11:12:21 UTC 2026","com.swaglabtest.testcases.MainPageLoginTest","Surefire test","com.swaglabtest.testcases.MainPageLoginTest","UserLogingWithvalidCredentials"
"","531","multipleItemPurchase","Surefire suite","Tue May 19 11:12:22 UTC 2026","passed","Tue May 19 11:12:23 UTC 2026","com.swaglabtest.testcases.ItemPurchaseTest","Surefire test","com.swaglabtest.testcases.ItemPurchaseTest","multipleItemPurchase"
"","428","SigelItemPurchase","Surefire suite","Tue May 19 11:12:22 UTC 2026","passed","Tue May 19 11:12:22 UTC 2026","com.swaglabtest.testcases.ItemPurchaseTest","Surefire test","com.swaglabtest.testcases.ItemPurchaseTest","SigelItemPurchase"
"","8","getTitle","Surefire suite","Tue May 19 11:12:22 UTC 2026","passed","Tue May 19 11:12:22 UTC 2026","com.swaglabtest.testcases.ItemPurchaseTest","Surefire test","com.swaglabtest.testcases.ItemPurchaseTest","getTitle"
