"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","477","UserLogingWithInvalidCredentials","Surefire suite","Sun May 17 18:47:26 UTC 2026","passed","Sun May 17 18:47:26 UTC 2026","com.swaglabtest.testcases.MainPageLoginTest","Surefire test","com.swaglabtest.testcases.MainPageLoginTest","UserLogingWithInvalidCredentials"
"","11","getTitle","Surefire suite","Sun May 17 18:47:29 UTC 2026","passed","Sun May 17 18:47:29 UTC 2026","com.swaglabtest.testcases.ItemPurchaseTest","Surefire test","com.swaglabtest.testcases.ItemPurchaseTest","getTitle"
"","350","UserLogingWithvalidCredentials","Surefire suite","Sun May 17 18:47:26 UTC 2026","passed","Sun May 17 18:47:27 UTC 2026","com.swaglabtest.testcases.MainPageLoginTest","Surefire test","com.swaglabtest.testcases.MainPageLoginTest","UserLogingWithvalidCredentials"
"","602","multipleItemPurchase","Surefire suite","Sun May 17 18:47:30 UTC 2026","passed","Sun May 17 18:47:30 UTC 2026","com.swaglabtest.testcases.ItemPurchaseTest","Surefire test","com.swaglabtest.testcases.ItemPurchaseTest","multipleItemPurchase"
"","613","SigelItemPurchase","Surefire suite","Sun May 17 18:47:29 UTC 2026","passed","Sun May 17 18:47:30 UTC 2026","com.swaglabtest.testcases.ItemPurchaseTest","Surefire test","com.swaglabtest.testcases.ItemPurchaseTest","SigelItemPurchase"
