"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","669","UserLogingWithInvalidCredentials","Surefire suite","Mon May 18 18:03:09 UTC 2026","passed","Mon May 18 18:03:09 UTC 2026","com.swaglabtest.testcases.MainPageLoginTest","Surefire test","com.swaglabtest.testcases.MainPageLoginTest","UserLogingWithInvalidCredentials"
"","470","multipleItemPurchase","Surefire suite","Mon May 18 18:03:12 UTC 2026","passed","Mon May 18 18:03:12 UTC 2026","com.swaglabtest.testcases.ItemPurchaseTest","Surefire test","com.swaglabtest.testcases.ItemPurchaseTest","multipleItemPurchase"
"","8","getTitle","Surefire suite","Mon May 18 18:03:11 UTC 2026","passed","Mon May 18 18:03:11 UTC 2026","com.swaglabtest.testcases.ItemPurchaseTest","Surefire test","com.swaglabtest.testcases.ItemPurchaseTest","getTitle"
"","477","SigelItemPurchase","Surefire suite","Mon May 18 18:03:11 UTC 2026","passed","Mon May 18 18:03:12 UTC 2026","com.swaglabtest.testcases.ItemPurchaseTest","Surefire test","com.swaglabtest.testcases.ItemPurchaseTest","SigelItemPurchase"
"","503","UserLogingWithvalidCredentials","Surefire suite","Mon May 18 18:03:09 UTC 2026","passed","Mon May 18 18:03:10 UTC 2026","com.swaglabtest.testcases.MainPageLoginTest","Surefire test","com.swaglabtest.testcases.MainPageLoginTest","UserLogingWithvalidCredentials"
