"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","417","multipleItemPurchase","Surefire suite","Tue May 19 10:30:02 UTC 2026","passed","Tue May 19 10:30:02 UTC 2026","com.swaglabtest.testcases.ItemPurchaseTest","Surefire test","com.swaglabtest.testcases.ItemPurchaseTest","multipleItemPurchase"
"","502","UserLogingWithInvalidCredentials","Surefire suite","Tue May 19 10:30:00 UTC 2026","passed","Tue May 19 10:30:00 UTC 2026","com.swaglabtest.testcases.MainPageLoginTest","Surefire test","com.swaglabtest.testcases.MainPageLoginTest","UserLogingWithInvalidCredentials"
"","341","UserLogingWithvalidCredentials","Surefire suite","Tue May 19 10:30:00 UTC 2026","passed","Tue May 19 10:30:00 UTC 2026","com.swaglabtest.testcases.MainPageLoginTest","Surefire test","com.swaglabtest.testcases.MainPageLoginTest","UserLogingWithvalidCredentials"
"","348","SigelItemPurchase","Surefire suite","Tue May 19 10:30:02 UTC 2026","passed","Tue May 19 10:30:02 UTC 2026","com.swaglabtest.testcases.ItemPurchaseTest","Surefire test","com.swaglabtest.testcases.ItemPurchaseTest","SigelItemPurchase"
"","6","getTitle","Surefire suite","Tue May 19 10:30:02 UTC 2026","passed","Tue May 19 10:30:02 UTC 2026","com.swaglabtest.testcases.ItemPurchaseTest","Surefire test","com.swaglabtest.testcases.ItemPurchaseTest","getTitle"
