"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","350","multipleItemPurchase","Surefire suite","Tue May 19 11:00:33 UTC 2026","passed","Tue May 19 11:00:33 UTC 2026","com.swaglabtest.testcases.ItemPurchaseTest","Surefire test","com.swaglabtest.testcases.ItemPurchaseTest","multipleItemPurchase"
"","201","UserLogingWithvalidCredentials","Surefire suite","Tue May 19 11:00:31 UTC 2026","passed","Tue May 19 11:00:31 UTC 2026","com.swaglabtest.testcases.MainPageLoginTest","Surefire test","com.swaglabtest.testcases.MainPageLoginTest","UserLogingWithvalidCredentials"
"","378","SigelItemPurchase","Surefire suite","Tue May 19 11:00:32 UTC 2026","passed","Tue May 19 11:00:33 UTC 2026","com.swaglabtest.testcases.ItemPurchaseTest","Surefire test","com.swaglabtest.testcases.ItemPurchaseTest","SigelItemPurchase"
"","9","getTitle","Surefire suite","Tue May 19 11:00:32 UTC 2026","passed","Tue May 19 11:00:32 UTC 2026","com.swaglabtest.testcases.ItemPurchaseTest","Surefire test","com.swaglabtest.testcases.ItemPurchaseTest","getTitle"
"","262","UserLogingWithInvalidCredentials","Surefire suite","Tue May 19 11:00:30 UTC 2026","passed","Tue May 19 11:00:31 UTC 2026","com.swaglabtest.testcases.MainPageLoginTest","Surefire test","com.swaglabtest.testcases.MainPageLoginTest","UserLogingWithInvalidCredentials"
